,State or UN,Admin Cap,Legis Cap
0,2,Rohit Sharma,IND
1,3,Ross Taylor,NZ
2,4,Quinton de Kock,SA
3,5,Francois du Plessis,SA
4,6,Joe Root,ENG
5,7,Babar Azam,PAK
6,8,Martin Guptill,NZ
7,9,Aaron Finch,AUS
8,,Shai Hope,WI
9,11,Fakhar Zaman,PAK
10,,Kane Williamson,NZ
11,13,Shikhar Dhawan,IND
12,14,Jos Buttler,ENG
13,15,Hashim Amla,SA
14,16,Mushfiqur Rahim,BAN
15,17,Jonny Bairstow,ENG
16,18,Usman Khawaja,AUS
17,19,Eoin Morgan,ENG
18,20,Tamim Iqbal,BAN
19,21,MS Dhoni,IND
20,22,Imam-ul-Haq,PAK
21,23,Glenn Maxwell,AUS
22,24,Jason Roy,ENG
23,25,Shimron Hetmyer,WI
24,26,Kedar Jadhav,IND
25,27,Tom Latham,NZ
26,28,David Miller,SA
27,29,Ben Stokes,ENG
28,30,Alex Hales,ENG
29,,Paul Stirling,IRE
30,32,Travis Head,AUS
31,33,Shakib Al Hasan,BAN
32,34,Niroshan Dickwella,SL
33,,Angelo Mathews,SL
34,36,Mohammad Hafeez,PAK
35,37,Soumya Sarkar,BAN
36,38,Marcus Stoinis,AUS
37,39,Chris Gayle,WI
38,40,Henry Nicholls,NZ
39,,Rahmat Shah,AFG
40,,Mohammad Shahzad,AFG
41,43,Shaun Marsh,AUS
42,,Brendan Taylor,ZIM
43,45,Peter Handscomb,AUS
44,46,Shoaib Malik,PAK
45,47,Mahmudullah,BAN
46,48,Ambati Rayudu,IND
47,49,Mohammad Nabi,AFG
48,50,Kusal Mendis,SL
49,51,Anshuman Rath,HK
50,,Kevin O'Brien,IRE
51,53,Sikandar Raza,ZIM
52,54,Sarfaraz Ahmed,PAK
53,55,Sean Williams,ZIM
54,56,Haris Sohail,PAK
55,,Andrew Balbirnie,IRE
56,58,JP Duminy,SA
57,59,Upul Tharanga,SL
58,60,Jimmy Neesham,NZ
59,61,Rassie van der Dussen,SA
60,62,Shaiman Anwar,UAE
61,63,Imrul Kayes,BAN
62,64,Kyle Coetzer,SCO
63,65,Colin Munro,NZ
64,66,Imad Wasim,PAK
65,67,Marlon Samuels,WI
66,68,William Porterfield,IRE
67,69,Kusal Perera,SL
68,70,Sabbir Rahman,BAN
69,,Thisara Perera,SL
70,72,Evin Lewis,WI
71,,Najibullah Zadran,AFG
72,74,Jason Holder,WI
73,75,Rameez Shahzad,UAE
74,76,Hamilton Masakadza,ZIM
75,77,Nizakat Khan,HK
76,78,Rashid Khan,AFG
77,,Calum MacLeod,SCO
78,80,Mitchell Santner,NZ
79,81,Dinesh Chandimal,SL
80,82,Moeen Ali,ENG
81,83,Danushka Gunathilaka,SL
82,84,Darren Bravo,WI
83,85,Hardik Pandya,IND
84,86,Alex Carey,AUS
85,87,Craig Ervine,ZIM
86,88,Asghar Afghan,AFG
87,89,Hashmatullah Shaidi,AFG
88,90,Aiden Markram,SA
89,91,Colin de Grandhomme,NZ
90,92,Suresh Raina,IND
91,93,Javed Ahmadi,AFG
92,94,Babar Hayat,HK
93,95,Umar Akmal,PAK
94,96,Mithun Ali,BAN
95,97,Mohammad Rizwan,PAK
96,98,Chris Woakes,ENG
97,99,Dhananjaya de Silva,SL
98,100,Rovman Powell,WI
